model,round,condition,files,adequate,partially_adequate,inadequate,adequacy_rate,mean_semantic_score_6,execution_passed,syntax_errors
gemini-3.6-flash,gemini_new_20,baseline,20,12,8,0,0.6,5.5,8,1
gemini-3.6-flash,gemini_new_20,structured_context,20,18,2,0,0.9,5.9,12,0
gpt-5.6-sol,gpt_original_12,baseline,12,7,5,0,0.5833,5.583,7,0
gpt-5.6-sol,gpt_original_12,structured_context,12,7,5,0,0.5833,5.583,7,0
qwen2.5-coder:7b,qwen_new_20,baseline,20,0,19,1,0.0,3.7,0,0
qwen2.5-coder:7b,qwen_new_20,structured_context,20,0,16,4,0.0,3.9,2,0
qwen2.5-coder:7b,qwen_old_14,baseline,14,0,13,1,0.0,3.143,0,0
qwen2.5-coder:7b,qwen_old_14,structured_context,14,0,12,2,0.0,3.571,2,0
